               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12076,             0.20304,            0.060043,           0.0051154,             0.12043,             0.00353,          0.00065556,             0.10782,             0.17484,            0.060221,              0.0006,              0.0006,              0.0946
                   1,             0.10839,             0.19219,            0.057747,             0.21527,             0.10914,             0.01079,            0.001947,             0.10049,             0.16835,            0.058419,             0.00121,             0.00121,             0.08911
                   2,             0.10378,             0.19216,             0.05578,             0.34853,             0.10596,            0.036956,           0.0082387,            0.095665,             0.15618,            0.055034,           0.0018198,           0.0018198,             0.08362
                   3,            0.097895,             0.18273,            0.052444,             0.48377,              0.1626,            0.067277,            0.017335,            0.090615,             0.15043,            0.051428,           0.0024295,           0.0024295,            0.078129
                   4,            0.095431,             0.18885,            0.047591,             0.72993,             0.12683,             0.11151,            0.035731,             0.08605,             0.15266,            0.045907,           0.0030388,           0.0030388,            0.072639
                   5,            0.090963,             0.18745,            0.043332,             0.57904,             0.23398,              0.1916,            0.047729,            0.084348,             0.17521,            0.040465,           0.0036477,           0.0036477,            0.067148
                   6,            0.091181,             0.19268,            0.039011,              0.4956,             0.34616,             0.24818,            0.066167,            0.082505,              0.1654,            0.038612,           0.0042562,           0.0042562,            0.061656
                   7,            0.088369,             0.18197,            0.036355,             0.74029,             0.19521,             0.22092,            0.066156,            0.084216,             0.28229,            0.039322,           0.0048641,           0.0048641,            0.056164
                   8,            0.089055,              0.1842,            0.033515,              0.1821,             0.26717,            0.086649,            0.017428,            0.092489,              0.1717,            0.037004,           0.0054714,           0.0054714,            0.050671
                   9,            0.087473,             0.17809,            0.029978,             0.44888,             0.35214,             0.20727,            0.055004,            0.083373,             0.16113,            0.027199,           0.0060778,           0.0060778,            0.045178
                  10,            0.085883,             0.16871,            0.026457,             0.68777,              0.3293,               0.321,            0.089127,            0.076213,              0.1554,            0.025261,           0.0066835,           0.0066835,            0.039683
                  11,            0.085454,             0.18531,            0.025808,             0.52616,             0.20794,             0.19843,            0.049361,            0.078994,             0.19347,            0.029518,           0.0072882,           0.0072882,            0.034188
                  12,            0.086709,             0.18996,            0.026568,             0.48568,             0.24502,             0.20266,            0.058055,            0.081458,             0.16896,             0.03098,           0.0078919,           0.0078919,            0.028692
                  13,            0.088984,             0.20012,            0.023513,             0.37237,             0.38557,             0.25123,            0.062766,            0.080322,              0.1606,            0.025364,           0.0084945,           0.0084945,            0.023194
                  14,            0.084968,             0.18498,            0.020778,               0.531,             0.41193,             0.33088,            0.090582,            0.074388,             0.15927,            0.020138,           0.0090959,           0.0090959,            0.017696
                  15,            0.085245,             0.18366,            0.018602,             0.45504,             0.41289,             0.31325,            0.086577,            0.083403,             0.19746,            0.022064,            0.009696,            0.009696,            0.012196
                  16,            0.083993,             0.17229,            0.019848,             0.45824,              0.3562,             0.29716,            0.074027,            0.081577,             0.14799,            0.020519,            0.009937,            0.009937,            0.009937
                  17,            0.082171,             0.17338,            0.017484,             0.51134,             0.42972,             0.39563,             0.11553,            0.076767,             0.15855,            0.015159,            0.009937,            0.009937,            0.009937
                  18,            0.079258,             0.17035,             0.01586,             0.42985,             0.48812,             0.35048,             0.11159,            0.074233,             0.13464,            0.014549,           0.0099289,           0.0099289,           0.0099289
                  19,            0.078799,               0.168,            0.014016,              0.4415,             0.56637,             0.44289,             0.13355,            0.072182,              0.1357,            0.014467,           0.0099203,           0.0099203,           0.0099203
                  20,            0.077862,             0.16586,            0.013107,             0.55791,              0.3715,             0.39232,             0.13141,            0.070501,             0.14961,            0.018848,           0.0099112,           0.0099112,           0.0099112
                  21,            0.078967,             0.16366,            0.012506,             0.62486,             0.53062,             0.56729,             0.21029,            0.068287,             0.15236,            0.011493,           0.0099017,           0.0099017,           0.0099017
                  22,            0.075338,              0.1651,            0.011683,             0.63185,              0.5182,             0.56102,             0.20244,            0.068628,             0.13197,              0.0115,           0.0098916,           0.0098916,           0.0098916
                  23,            0.074221,              0.1604,            0.011341,             0.67441,             0.50268,             0.56359,             0.19088,            0.068031,             0.15209,            0.012159,           0.0098811,           0.0098811,           0.0098811
                  24,            0.073029,              0.1517,            0.010914,             0.63599,             0.57687,             0.60739,             0.23307,            0.066316,             0.13683,            0.010144,           0.0098701,           0.0098701,           0.0098701
                  25,            0.072199,             0.16605,            0.010773,              0.7318,             0.52094,             0.61212,              0.2239,            0.063292,             0.14257,            0.010778,           0.0098586,           0.0098586,           0.0098586
                  26,            0.068161,             0.15267,            0.010533,             0.61267,             0.53477,             0.56735,             0.21185,            0.063919,             0.12641,            0.010726,           0.0098467,           0.0098467,           0.0098467
                  27,            0.073157,             0.15495,           0.0094099,             0.62542,             0.49227,             0.54126,             0.20115,            0.071555,             0.12594,           0.0086293,           0.0098342,           0.0098342,           0.0098342
                  28,            0.070379,              0.1479,           0.0093374,             0.61216,             0.61709,             0.64595,             0.25612,            0.062006,             0.13028,           0.0087712,           0.0098213,           0.0098213,           0.0098213
                  29,            0.072582,              0.1561,           0.0089887,             0.46276,             0.66146,             0.57575,             0.21067,            0.069044,              0.1274,           0.0087411,           0.0098079,           0.0098079,           0.0098079
                  30,            0.069902,              0.1499,           0.0080917,             0.64305,              0.6137,             0.64291,             0.24713,             0.06194,             0.13105,           0.0090481,           0.0097941,           0.0097941,           0.0097941
