epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.545959903032352,4.2749,8.36,24.9
1,4.151179523957081,3.320340625,22.28,51.6
2,3.8069733277345317,2.764128125,31.85,65.19
3,3.6056686132382123,2.394675,40.23,73.8
4,3.4311635225247112,2.167190625,46.14,78.95
5,3.2639376028990132,1.991378125,50.41,81.83
6,3.2450812400915683,1.889115625,52.82,82.81
7,3.0570382240491036,1.7297265625,56.01,85.38
8,3.031380462646484,1.6841140625,57.88,86.01
9,3.044918506573408,1.744,57.18,85.77
10,2.9716187171446973,1.6585453125,59.16,86.87
11,2.983792304992676,1.6256859375,60.08,86.99
12,2.936200369321383,1.540759375,61.33,88.25
13,2.891426731989934,1.5108484375,62.15,88.42
14,2.867374654916617,1.525740625,61.7,88.26
15,2.8547566438332583,1.5836671875,60.07,87.34
16,2.850359985155937,1.54396875,62.21,88.47
17,2.842575025558472,1.5801734375,61.81,87.53
18,2.85967800678351,1.568821875,62.88,88.82
19,2.807625700877263,1.4970609375,62.76,88.46
20,2.86368370728615,1.583621875,61.27,87.77
21,2.7523821433385214,1.4883125,64.32,89.2
22,2.7497398669903097,1.496621875,64.05,88.81
23,2.7340419408602594,1.4897015625,64.82,89.21
24,2.700076190630595,1.4762890625,65.16,89.71
25,2.7665289597633556,1.43748125,64.88,89.5
26,2.6899372284228984,1.464434375,65.82,90.1
27,2.6264509696226854,1.3517046875,66.23,90.13
28,2.703447219041678,1.3905015625,65.0,89.24
29,2.6109484892625074,1.3358734375,66.64,90.57
30,2.627607884773841,1.41065,66.55,89.79
31,2.6664853621751834,1.36089375,67.06,89.77
32,2.602402828901242,1.3434796875,66.46,90.48
33,2.5927507027601586,1.34539375,67.14,89.94
34,2.627161567639082,1.362359375,66.13,89.69
35,2.6642437867629223,1.3591515625,67.12,90.61
36,2.6340130023467236,1.394815625,67.72,90.52
37,2.5713282224459526,1.3093765625,68.52,91.1
38,2.571469759941101,1.3355328125,68.5,91.24
39,2.6874130994845657,1.3586484375,68.34,90.7
40,2.4884716730851393,1.28309375,68.95,90.72
41,2.494499912628761,1.27625,68.53,91.07
42,2.6032130510379106,1.34364375,67.43,90.25
43,2.59115380690648,1.2682765625,69.58,91.31
44,2.5286355036955612,1.2582828125,69.5,91.42
45,2.5468766646507457,1.327840625,68.19,90.69
46,2.5133161856577946,1.2387578125,69.68,91.74
47,2.619286097624363,1.3343078125,69.99,91.48
48,2.5118070180599505,1.3374265625,68.88,90.57
49,2.546897853949131,1.2753265625,69.11,91.24
50,2.4767006537853145,1.271603125,69.67,91.17
51,2.491064164577386,1.2773359375,69.67,91.37
52,2.469402437332349,1.256953125,70.21,91.47
53,2.500513702783829,1.2742546875,69.5,90.98
54,2.5317868740130693,1.28646875,70.05,91.22
55,2.5516092447134167,1.28609375,69.2,90.63
56,2.461665421265822,1.30695,69.79,91.45
57,2.542861870618967,1.284371875,70.36,91.15
58,2.4764003998193984,1.196925,70.95,92.1
59,2.5113950356459007,1.2581421875,69.95,91.12
60,2.589929994558677,1.3270015625,69.23,91.05
61,2.4647674346581483,1.2509609375,70.33,91.41
62,2.4316618919372557,1.2626578125,69.69,90.99
63,2.3954001591755794,1.256225,70.36,91.13
64,2.369762428601583,1.262534375,70.06,91.23
65,2.473758265299675,1.242478125,70.46,91.64
66,2.4640320429435145,1.2393046875,69.53,91.38
67,2.4747787500039125,1.2204015625,71.25,92.17
68,2.5054364797396538,1.284490625,71.15,91.67
69,2.4277333027277237,1.29109375,70.69,91.2
70,2.409250393891946,1.3107578125,70.63,91.54
71,2.319709667792687,1.136503125,71.47,92.23
72,2.4491957468864247,1.194578125,72.04,92.15
73,2.457395622669122,1.1943875,70.85,91.84
74,2.4679857296821397,1.3075234375,69.96,91.22
75,2.3203695016029555,1.1727,71.5,92.07
76,2.3802721396470683,1.20096640625,71.24,91.99
77,2.419958425179506,1.17398984375,71.8,91.72
78,2.4065368126600215,1.2163265625,72.27,92.07
79,2.4306198615294234,1.222421875,71.54,91.78
80,2.3953783518228775,1.2705421875,71.78,91.95
81,2.3655136310137235,1.2306078125,72.0,92.21
82,2.4428916258689686,1.2895171875,71.41,91.74
83,2.373656471570333,1.196525,71.36,91.71
84,2.4727566712941877,1.3070828125,71.41,91.81
85,2.4200011883026513,1.2593515625,71.8,91.63
86,2.3709139946179514,1.1928453125,72.12,92.04
87,2.414970971376468,1.2414703125,72.28,91.58
88,2.447966679548606,1.250646875,71.44,91.81
89,2.3832310291437,1.21414140625,71.79,91.83
90,2.395927619934082,1.21505625,72.07,92.16
91,2.393505967580355,1.21501328125,72.67,92.22
92,2.3943612245412975,1.1988765625,72.68,92.28
93,2.41428853670756,1.2197015625,72.08,91.89
94,2.375104231100816,1.20170625,72.16,92.18
95,2.3257568707832923,1.2104921875,72.28,91.78
96,2.2311574721947696,1.1520328125,72.36,92.17
97,2.3578064411114426,1.200878125,72.91,92.29
98,2.368771527363704,1.14935625,72.66,92.38
99,2.3066639313331017,1.188178125,72.64,92.24
100,2.3026938896912794,1.288025,71.3,91.38
101,2.3402881463368734,1.1857921875,72.99,92.57
102,2.30887610973456,1.1819484375,72.74,92.12
103,2.2834901724106227,1.126328125,72.87,92.41
104,2.3256077259014813,1.234225,72.24,91.89
105,2.3613193469169813,1.1955640625,72.68,91.97
106,2.356338931963994,1.17241484375,73.35,92.49
107,2.1871537489768786,1.1496890625,72.89,92.53
108,2.322968598512503,1.11505,73.57,92.86
109,2.2962631702423097,1.10952890625,73.18,92.58
110,2.387297404729403,1.227815625,73.22,92.13
111,2.2595863366738342,1.2203875,72.3,92.09
112,2.3538635614590766,1.1698328125,73.58,92.16
113,2.2342315135858,1.1656046875,72.98,92.45
114,2.360308508383922,1.168265625,72.78,92.32
115,2.3777988012020406,1.1940484375,72.4,92.1
116,2.2367510587741166,1.198715625,72.73,92.39
117,2.3778217566319,1.22197734375,72.37,92.18
118,2.3163426723235694,1.1822609375,72.6,92.21
119,2.2662011702855427,1.2183953125,72.95,92.27
120,2.2839158449417507,1.18508125,73.35,92.09
121,2.301725339278197,1.1724125,73.32,92.52
122,2.313563291843121,1.2435203125,72.73,91.71
123,2.3081872591605554,1.2007359375,73.24,92.6
124,2.301990452179542,1.210703125,72.85,92.32
125,2.286003190431839,1.1990734375,72.81,92.25
126,2.2913921252275125,1.1832203125,73.06,92.04
127,2.277761841431642,1.147078125,73.12,92.7
128,2.29723941607353,1.2198859375,73.01,92.09
129,2.2628053811880258,1.15706171875,73.65,92.46
130,2.26589582210932,1.137225,73.03,92.37
131,2.191102245526436,1.1197671875,73.34,92.39
132,2.312588619574522,1.2843109375,73.0,92.21
133,2.357440538284106,1.15735234375,73.34,92.42
134,2.283574617214692,1.2047734375,73.5,92.43
135,2.26829987794925,1.1875171875,73.58,92.42
136,2.362094842470609,1.2744140625,72.52,91.81
137,2.2583109305455134,1.1412703125,73.87,92.46
138,2.2291579857850685,1.17621875,73.21,92.55
139,2.2314612009586434,1.1220984375,73.6,92.73
140,2.2607721897271964,1.1970328125,72.99,92.28
141,2.2571438948313394,1.1881640625,74.12,92.49
142,2.200591503045498,1.20525,72.92,92.24
143,2.2297992321161124,1.2208046875,73.59,92.3
144,2.2409944100257677,1.181421875,73.68,92.53
145,2.2649577898856923,1.2666625,73.73,92.55
146,2.2358503109369523,1.139278125,74.24,92.73
147,2.162513078787388,1.1743890625,73.58,92.72
148,2.2568742177425287,1.1072453125,74.1,92.92
149,2.2454662561416625,1.15156171875,73.81,92.65
150,2.1313761711120605,1.145259375,74.01,92.61
151,2.24820081331791,1.1375984375,74.63,92.68
152,2.2494411865870156,1.2071421875,73.31,92.19
153,2.1494252944603947,1.1272203125,73.78,92.46
154,2.2809399403058563,1.144175,74.44,92.89
155,2.1910163127459015,1.2221171875,73.77,92.23
156,2.2373648068843743,1.2101640625,73.77,92.27
157,2.175135843570416,1.0948578125,74.35,92.78
158,2.278143893755399,1.1521015625,74.44,92.68
159,2.2190625850970926,1.137690625,74.7,92.96
160,2.174788706119244,1.18021953125,74.44,92.48
161,2.274263987174401,1.2150265625,73.96,92.42
162,2.1739875255486902,1.137421875,74.09,92.62
163,2.1904099739514864,1.1798140625,74.61,92.86
164,2.2764280472046288,1.151328125,74.12,92.9
165,2.2913578131260017,1.1444234375,74.8,92.88
166,2.221567013936165,1.1378484375,74.35,93.11
167,2.2199016840029984,1.1889484375,74.62,92.52
168,2.214363678296407,1.184825,74.76,92.75
169,2.2202011958146706,1.14154375,74.29,92.63
170,2.159410800077976,1.1575796875,74.35,92.7
171,2.1097001002385065,1.09293046875,74.9,92.96
172,2.245878592515603,1.1609609375,73.84,92.66
173,2.2193680200821313,1.15171484375,74.4,92.43
174,2.1917370062607984,1.1490453125,74.2,92.85
175,2.166226619329208,1.1952609375,74.29,92.56
176,2.2102041311753102,1.180159375,74.09,92.92
177,2.1073120893576207,1.0969765625,75.06,93.11
178,2.142032853150979,1.11149375,74.35,92.74
179,2.111732323964437,1.1450515625,74.86,92.66
180,2.190919214639908,1.1758859375,74.59,92.5
181,2.206775708687611,1.1829203125,74.43,92.69
182,2.139554320848905,1.1784765625,74.51,92.56
183,2.2430616702788915,1.16345625,74.88,92.67
184,2.2187040958649074,1.214275,74.17,92.56
185,2.224387453152583,1.1903453125,74.67,92.77
186,2.126885162255703,1.09986640625,75.53,93.21
187,2.157948836302146,1.10856953125,75.19,93.1
188,2.1484968002025897,1.22323046875,74.4,92.69
189,2.0881655583014855,1.09583671875,74.76,93.1
190,2.159549942994729,1.1526734375,74.72,92.62
191,2.1625817109376957,1.111209375,74.88,92.97
