               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1011,             0.27185,            0.066714,             0.24308,             0.12695,            0.076382,            0.018635,            0.087929,             0.20872,            0.042884,             0.00097,             0.00097,             0.09127
                   1,            0.093361,             0.23059,            0.038811,             0.27459,             0.18669,             0.16557,             0.04934,            0.080978,             0.20535,             0.03378,             0.00195,             0.00195,             0.08245
                   2,            0.085066,             0.19977,            0.029382,             0.37569,             0.38181,             0.31564,             0.11425,            0.073116,             0.16778,            0.020858,           0.0029297,           0.0029297,             0.07363
                   3,            0.076721,             0.18667,            0.020672,             0.48335,             0.45181,             0.41232,             0.13561,             0.06961,             0.15541,            0.015161,           0.0039091,           0.0039091,            0.064809
                   4,            0.070643,              0.1698,            0.015141,             0.64527,             0.49411,             0.52915,             0.20583,            0.064252,             0.14722,            0.013801,           0.0048881,           0.0048881,            0.055988
                   5,            0.071632,             0.18713,             0.01356,             0.60156,             0.55997,             0.55425,             0.22345,            0.062294,             0.14487,            0.012904,           0.0058664,           0.0058664,            0.047166
                   6,            0.071522,             0.18992,            0.014582,             0.49373,             0.21019,             0.15325,            0.049283,             0.08317,             0.25561,            0.043178,           0.0068439,           0.0068439,            0.038344
                   7,            0.071143,             0.19089,            0.014989,             0.60935,             0.53349,             0.54468,             0.21611,            0.063205,              0.1462,            0.012969,           0.0078205,           0.0078205,            0.029521
                   8,            0.068509,             0.17927,            0.010905,             0.47729,             0.43493,              0.4186,             0.15923,            0.067693,             0.16391,            0.024383,           0.0087961,           0.0087961,            0.020696
                   9,            0.072982,             0.20636,             0.01499,             0.53742,             0.38529,             0.40013,             0.15185,            0.069027,              0.1679,            0.032501,           0.0097704,           0.0097704,             0.01187
                  10,            0.069793,             0.18746,            0.015645,               0.572,             0.50983,             0.53769,             0.22511,            0.063313,             0.15746,            0.014855,           0.0099753,           0.0099753,           0.0099753
                  11,            0.068859,             0.17711,            0.012303,             0.62159,             0.54886,             0.59103,             0.23347,            0.061585,             0.15078,            0.011122,           0.0099753,           0.0099753,           0.0099753
                  12,            0.068142,             0.17047,            0.010276,             0.63676,             0.55792,             0.60817,             0.24199,            0.062671,             0.14054,            0.011189,           0.0099702,           0.0099702,           0.0099702
                  13,            0.066978,             0.16633,           0.0097643,             0.73006,             0.62577,             0.67022,             0.28158,            0.057742,               0.156,           0.0085515,           0.0099645,           0.0099645,           0.0099645
                  14,            0.065748,             0.16671,           0.0073597,             0.68709,             0.55771,             0.60451,             0.24182,            0.060371,             0.14361,            0.013011,           0.0099584,           0.0099584,           0.0099584
                  15,            0.064651,             0.15879,           0.0083576,             0.67871,             0.61123,             0.64441,             0.26899,             0.05975,              0.1457,            0.010767,           0.0099517,           0.0099517,           0.0099517
                  16,            0.064963,             0.15484,           0.0070557,             0.66539,             0.60579,             0.62425,             0.26054,             0.06339,             0.13892,            0.010209,           0.0099446,           0.0099446,           0.0099446
                  17,            0.063032,             0.15464,           0.0064384,             0.61486,             0.59023,             0.60812,             0.22795,            0.063561,             0.13987,           0.0099703,            0.009937,            0.009937,            0.009937
                  18,            0.063401,              0.1533,           0.0072317,             0.73191,             0.65748,             0.70181,             0.30396,            0.056172,             0.12899,           0.0071073,           0.0099289,           0.0099289,           0.0099289
                  19,            0.061283,             0.16399,           0.0055945,             0.78407,             0.66194,             0.70803,             0.30565,             0.05657,             0.12864,           0.0069262,           0.0099203,           0.0099203,           0.0099203
                  20,            0.063143,             0.15305,           0.0056236,             0.78824,             0.64285,             0.71364,                0.31,            0.055936,             0.12896,           0.0062589,           0.0099112,           0.0099112,           0.0099112
                  21,            0.060968,             0.14797,           0.0055627,             0.79409,             0.75067,             0.78257,             0.35111,            0.053242,             0.12223,           0.0056405,           0.0099017,           0.0099017,           0.0099017
                  22,            0.063264,             0.15411,           0.0048059,              0.8289,              0.7109,             0.76976,             0.33586,            0.053595,              0.1225,           0.0061582,           0.0098916,           0.0098916,           0.0098916
                  23,            0.060181,             0.14448,           0.0049173,             0.76876,             0.68415,             0.73957,             0.32302,            0.055515,             0.12359,           0.0057878,           0.0098811,           0.0098811,           0.0098811
                  24,            0.060702,             0.14459,           0.0049159,             0.80804,             0.68719,             0.75118,             0.32634,            0.054046,              0.1214,           0.0059836,           0.0098701,           0.0098701,           0.0098701
